id;cfb_plot_num;round;day;time_visit;type_plot;observer;num_surv_5_min;species;distance_more_than_50;comment
1;171;1;17/04/2023;07:52:00;path;Raphael;0;Crested Tit;FALSE;#N/A
2;171;1;17/04/2023;07:52:00;path;Raphael;0;Coal Tit;FALSE;#N/A
3;171;1;17/04/2023;07:52:00;path;Raphael;0;European Robin;FALSE;#N/A
4;171;1;17/04/2023;07:52:00;path;Raphael;0;Song Thrush;TRUE;#N/A
5;171;1;17/04/2023;07:52:00;path;Raphael;0;Common Chaffinch;TRUE;#N/A
6;171;1;17/04/2023;07:52:00;path;Raphael;0;Common Chaffinch;TRUE;#N/A
7;171;1;17/04/2023;07:52:00;path;Raphael;0;Goldcrest;FALSE;#N/A
8;171;1;17/04/2023;07:52:00;path;Raphael;1;Coal Tit;FALSE;#N/A
9;171;1;17/04/2023;07:52:00;path;Raphael;1;Coal Tit;TRUE;#N/A
10;171;1;17/04/2023;07:52:00;path;Raphael;1;Song Thrush;TRUE;#N/A
11;171;1;17/04/2023;07:52:00;path;Raphael;1;Common Chaffinch;TRUE;#N/A
12;171;1;17/04/2023;07:52:00;path;Raphael;1;Crested Tit;FALSE;#N/A
13;171;1;17/04/2023;07:52:00;path;Raphael;1;Goldcrest;FALSE;#N/A
14;171;1;17/04/2023;07:52:00;path;Raphael;1;European Robin;FALSE;#N/A
15;171;1;17/04/2023;07:52:00;path;Raphael;1;Common Chaffinch;FALSE;#N/A
16;171;1;17/04/2023;07:52:00;path;Raphael;1;European Robin;FALSE;#N/A
17;171;1;17/04/2023;07:52:00;path;Raphael;2;European Robin;FALSE;#N/A
18;171;1;17/04/2023;07:52:00;path;Raphael;2;Common Chaffinch;TRUE;#N/A
19;171;1;17/04/2023;07:52:00;path;Raphael;2;Coal Tit;FALSE;#N/A
20;171;1;17/04/2023;07:52:00;path;Raphael;2;Common Chaffinch;TRUE;#N/A
21;171;1;17/04/2023;07:52:00;path;Raphael;2;Common Chaffinch;TRUE;#N/A
22;171;1;17/04/2023;07:52:00;path;Raphael;2;Coal Tit;TRUE;#N/A
23;171;1;17/04/2023;07:52:00;path;Raphael;2;Eurasian Blackbird;FALSE;#N/A
24;171;1;17/04/2023;07:52:00;path;Raphael;2;Song Thrush;TRUE;#N/A
25;171;1;17/04/2023;07:52:00;path;Raphael;3;Song Thrush;TRUE;#N/A
26;171;1;17/04/2023;07:52:00;path;Raphael;3;Common Chaffinch;TRUE;#N/A
27;171;1;17/04/2023;07:52:00;path;Raphael;3;European Robin;FALSE;#N/A
28;171;1;17/04/2023;07:52:00;path;Raphael;3;Coal Tit;TRUE;#N/A
29;171;1;17/04/2023;07:52:00;path;Raphael;3;Goldcrest;FALSE;#N/A
30;171;1;17/04/2023;07:52:00;path;Raphael;3;European Robin;FALSE;#N/A
31;171;1;17/04/2023;07:52:00;path;Raphael;3;Eurasian Wren;FALSE;#N/A
32;171;1;17/04/2023;07:52:00;path;Raphael;3;Coal Tit;FALSE;#N/A
33;171;1;17/04/2023;07:52:00;path;Raphael;3;Common Chaffinch;TRUE;#N/A
34;171;1;17/04/2023;07:52:00;path;Raphael;3;Mistle Thrush;FALSE;#N/A
35;171;1;17/04/2023;07:52:00;path;Raphael;4;Song Thrush;TRUE;#N/A
36;171;1;17/04/2023;07:52:00;path;Raphael;4;Coal Tit;TRUE;#N/A
37;171;1;17/04/2023;07:52:00;path;Raphael;4;Coal Tit;TRUE;#N/A
38;171;1;17/04/2023;07:52:00;path;Raphael;4;Common Chaffinch;TRUE;#N/A
39;171;1;17/04/2023;07:52:00;path;Raphael;4;Crested Tit;FALSE;#N/A
40;171;1;17/04/2023;07:52:00;path;Raphael;4;Eurasian Bullfinch;TRUE;#N/A
41;171;1;17/04/2023;07:52:00;path;Raphael;4;Goldcrest;FALSE;#N/A
42;171;1;17/04/2023;07:52:00;path;Raphael;4;Common Chaffinch;TRUE;#N/A
43;171;1;17/04/2023;07:52:00;path;Raphael;4;Common Chaffinch;FALSE;#N/A
44;171;1;17/04/2023;08:40:00;road;Raphael;1;European Robin;FALSE;#N/A
45;171;1;17/04/2023;08:40:00;road;Raphael;1;Common Chiffchaff;FALSE;#N/A
46;171;1;17/04/2023;08:40:00;road;Raphael;1;Song Thrush;TRUE;#N/A
47;171;1;17/04/2023;08:40:00;road;Raphael;1;Coal Tit;FALSE;#N/A
48;171;1;17/04/2023;08:40:00;road;Raphael;1;Common Chaffinch;FALSE;#N/A
49;171;1;17/04/2023;08:40:00;road;Raphael;1;Common Chaffinch;FALSE;#N/A
50;171;1;17/04/2023;08:40:00;road;Raphael;1;Carrion Crow;TRUE;#N/A
51;171;1;17/04/2023;08:40:00;road;Raphael;1;Wood Pigeon;TRUE;#N/A
52;171;1;17/04/2023;08:40:00;road;Raphael;1;Song Thrush;TRUE;#N/A
53;171;1;17/04/2023;08:40:00;road;Raphael;2;Common Chiffchaff;FALSE;#N/A
54;171;1;17/04/2023;08:40:00;road;Raphael;2;Common Chaffinch;FALSE;#N/A
55;171;1;17/04/2023;08:40:00;road;Raphael;2;European Robin;FALSE;#N/A
56;171;1;17/04/2023;08:40:00;road;Raphael;2;Song Thrush;TRUE;#N/A
57;171;1;17/04/2023;08:40:00;road;Raphael;2;Wood Pigeon;TRUE;#N/A
58;171;1;17/04/2023;08:40:00;road;Raphael;2;Song Thrush;TRUE;#N/A
59;171;1;17/04/2023;08:40:00;road;Raphael;2;Song Thrush;FALSE;#N/A
60;171;1;17/04/2023;08:40:00;road;Raphael;2;Common Chaffinch;TRUE;#N/A
61;171;1;17/04/2023;08:40:00;road;Raphael;3;Wood Pigeon;TRUE;#N/A
62;171;1;17/04/2023;08:40:00;road;Raphael;3;Common Chaffinch;FALSE;#N/A
63;171;1;17/04/2023;08:40:00;road;Raphael;3;European Robin;FALSE;#N/A
64;171;1;17/04/2023;08:40:00;road;Raphael;3;Coal Tit;TRUE;#N/A
65;171;1;17/04/2023;08:40:00;road;Raphael;3;Song Thrush;TRUE;#N/A
66;171;1;17/04/2023;08:40:00;road;Raphael;3;Song Thrush;TRUE;#N/A
67;171;1;17/04/2023;08:40:00;road;Raphael;3;Common Chiffchaff;FALSE;#N/A
68;171;1;17/04/2023;08:40:00;road;Raphael;4;Wood Pigeon;TRUE;#N/A
69;171;1;17/04/2023;08:40:00;road;Raphael;4;Song Thrush;TRUE;#N/A
70;171;1;17/04/2023;08:40:00;road;Raphael;4;Common Chiffchaff;FALSE;#N/A
71;171;1;17/04/2023;08:40:00;road;Raphael;4;Common Chaffinch;FALSE;#N/A
72;171;1;17/04/2023;08:40:00;road;Raphael;4;European Robin;FALSE;#N/A
73;171;1;17/04/2023;08:40:00;road;Raphael;4;Mistle Thrush;TRUE;#N/A
74;171;1;17/04/2023;09:43:00;forest;Raphael;0;Eurasian Jay;FALSE;#N/A
75;171;1;17/04/2023;09:43:00;forest;Raphael;0;Eurasian Bullfinch;FALSE;#N/A
76;171;1;17/04/2023;09:43:00;forest;Raphael;0;Coal Tit;FALSE;#N/A
77;171;1;17/04/2023;09:43:00;forest;Raphael;0;Eurasian Blackbird;FALSE;#N/A
78;171;1;17/04/2023;09:43:00;forest;Raphael;0;Crested Tit;FALSE;#N/A
79;171;1;17/04/2023;09:43:00;forest;Raphael;0;Common Chaffinch;FALSE;#N/A
